Premise Name,Premise No,Type,TPIN,Physical Address,Street,PSU No,Category,District,Region
YAYERI PHARMACY LIMITED,NDA/PRE/RTP/6441,Retail Pharmacy,\N,"LUGAZI TOWN, NEXT TO TOTAL FUEL REFILL STATION",KAMPALA - JINJA HIGHWAY,1886,Human,Buikwe,South Eastern Region - Jinja
JOVIE CONCEPT LIMITED,NDA/PRE/RTP/6442,Retail Pharmacy,1016143021,"KISOGA T/C,",KATOSI ROAD,895,Human,Mukono,South Eastern Region - Jinja
NEXT GENERATION PHARMACY SERVICES LIMITED,NDA/PRE/RTP/6451,Retail Pharmacy,\N,"KIBULI, WABIGALO, MAKINDYE",SOWETO RD,531,Human,Kampala,Kampala Extra - Akamwesi
REKISA TOTAL SOLUTIONS LTD,NDA/PRE/RTP/6454,Retail Pharmacy,\N,BUSIKA TRADING CENTRE,NEXT TO WALUSIMBI STREET BUILDING,852,Human,Luweero,Kampala Extra - Akamwesi
JAVAR PHARMACEUTICALS LTD,NDA/PRE/RTP/6456,Retail Pharmacy,\N,"Kabiito Town council,",Kabonero road,1453,Human,Bunyangabu,Western Region - Hoima
MOMO PHARMACY CO LTD,NDA/PRE/RTP/6457,Retail Pharmacy,\N,"KYAZANGA TRADING CENTER, SETANLE PATRICK BUILDING","OPP. SSANDE MUSA BUILDING, MASAKA HIGHWAY",1137,Human,Lwengo,Central Regional Office - Masaka
CARAMEL PHARMACY LIMITED,NDA/PRE/RTP/6468,Retail Pharmacy,\N,"At Buyinza Plaza, Opp. Nabweru Mosque",Nansana-Nabweru rd,1584,Human,Wakiso,Kampala Extra - Akamwesi
PNEUMA PHARMACEUTICALS LIMITED,NDA/PRE/RTP/6472,Retail Pharmacy,\N,"SEMUTO, NAKASEKE SOUTH,",ALONG SEMUTO RD,1373,Human,Nakaseke,Kampala Extra - Akamwesi
JOSIAH HEALTH CARE LTD,NDA/PRE/RTP/6477,Retail Pharmacy,\N,KASANDA T.C,KASANDA ROUND ABOUT,654,Human,Kasanda,Western Region - Hoima
CHERRY'S PHARMACY LTD,NDA/PRE/RTP/6532,Retail Pharmacy,\N,"Bukwenda - Katale, Next to Divine General hardware",Kasenge Rd,1571,Human,Wakiso,Kampala Extra - Akamwesi
VIVA OILS LTD,NDA/PRE/RTP/6535,Retail Pharmacy,\N,"Plot 1328, Block 216, Buya Ntinda",Kigowa Rd,1079,Human,Kampala,Kampala Extra - Akamwesi
HOSPAL CARE PHARMACY (U) LIMITED,NDA/PRE/RTP/6558,Retail Pharmacy,\N,"Nakavule - A Village,",Iganga -Tororo Highway,920,Human,Iganga,South Eastern Region - Jinja
SILVA INVESTMENT CO.LTD,NDA/PRE/RTP/6564,Retail Pharmacy,\N,"PLOT 66, NEXT TO OPPORTUNITY BANK",HIGH STREET,847,Human,Mbarara,South Western Region - Mbarara
CENTURY FRONTIERS LIMITED,NDA/PRE/RTP/6576,Retail Pharmacy,\N,Arab contractors town,Budondo road,1441,Human,Jinja,South Eastern Region - Jinja
C.O.U PURPLE PHARMACY,NDA/PRE/RTP/6585,Retail Pharmacy,\N,Mukono Church Of Uganda Hospital,Jinja-Kampala Highway,1338,Human,Mukono,South Eastern Region - Jinja
LIFECREST PHARMACY LTD,NDA/PRE/RTP/6586,Retail Pharmacy,\N,NEXT TO PAROA HARDWARE,BULOBA TRADING CENTER,1293,Human,Wakiso,Kampala Extra - Akamwesi
DRUG LINK PHARMACY LTD,NDA/PRE/RTP/6588,Retail Pharmacy,\N,"KYALIWAJJALA , OPP. PRIME PETROL",STATION,1254,Human,Wakiso,Kampala Extra - Akamwesi
BIOZONE PHARMACY LTD,NDA/PRE/RTP/6589,Retail Pharmacy,1043686005,KATALE-BUKWENDA,NEXT TO KATALE POLICE,1337,Human,Wakiso,Kampala Extra - Akamwesi
MED ONE HEALTH CARE SERVICES LTD,NDA/PRE/RTP/6595,Retail Pharmacy,\N,KIRUDDU,ALONG SALAMA RD,876,Veretinary,Kampala,Kampala Extra - Akamwesi
